iter	Passed	Remaining
0	61	61165
1	61	30737
2	62	20613
3	62	15549
4	62	12494
5	63	10460
6	63	9002
7	63	7903
8	64	7051
9	65	6444
10	65	5877
11	65	5408
12	65	5010
13	66	4671
14	66	4376
15	66	4116
16	67	3887
17	67	3682
18	67	3501
19	68	3336
20	68	3187
21	68	3052
22	68	2929
23	69	2815
24	69	2712
25	69	2616
26	70	2527
27	70	2445
28	70	2368
29	71	2297
30	71	2230
31	71	2167
32	71	2108
33	72	2052
34	72	2000
35	72	1951
36	73	1904
37	73	1860
38	73	1818
39	74	1778
40	74	1740
41	74	1704
42	75	1670
43	75	1638
44	75	1608
45	76	1581
46	76	1552
47	76	1525
48	77	1498
49	77	1473
50	77	1448
51	78	1424
52	78	1402
53	78	1379
54	79	1358
55	79	1337
56	79	1317
57	79	1298
58	80	1279
59	80	1261
60	80	1243
61	81	1226
62	81	1210
63	81	1194
64	81	1179
65	82	1164
66	82	1149
67	82	1135
68	83	1121
69	83	1108
70	83	1095
71	84	1082
72	84	1070
73	84	1058
74	84	1047
75	85	1035
76	85	1024
77	85	1013
78	86	1002
79	86	992
80	86	982
81	86	972
82	87	961
83	87	952
84	87	942
85	87	934
86	88	925
87	88	917
88	88	909
89	89	901
90	89	893
91	89	885
92	90	877
93	90	870
94	90	862
95	90	855
96	91	848
97	91	841
98	91	835
99	92	828
100	92	821
101	92	815
102	92	808
103	93	802
104	93	796
105	93	790
106	94	784
107	94	779
108	94	773
109	94	767
110	95	762
111	95	756
112	95	751
113	96	746
114	96	741
115	96	736
116	96	730
117	97	725
118	97	720
119	97	715
120	97	711
121	98	706
122	98	701
123	98	697
124	98	692
125	99	688
126	99	684
127	99	679
128	100	676
129	100	671
130	100	668
131	100	664
132	101	660
133	101	656
134	101	652
135	102	649
136	102	645
137	102	641
138	103	638
139	103	634
140	103	631
141	103	627
142	104	623
143	104	620
144	104	617
145	104	613
146	105	610
147	105	607
148	105	604
149	106	601
150	106	598
151	106	595
152	106	592
153	107	589
154	107	586
155	107	583
156	108	581
157	108	578
158	108	575
159	109	572
160	109	569
161	109	566
162	109	563
163	110	560
164	110	558
165	110	555
166	110	553
167	111	550
168	111	548
169	111	545
170	112	543
171	112	541
172	112	539
173	113	536
174	113	534
175	113	531
176	113	529
177	114	527
178	114	525
179	114	522
180	115	520
181	115	518
182	115	516
183	115	514
184	116	511
185	116	509
186	116	507
187	117	505
188	117	503
189	117	501
190	117	499
191	118	497
192	118	495
193	118	494
194	119	492
195	119	490
196	119	488
197	120	486
198	120	484
199	120	482
200	121	481
201	121	479
202	121	477
203	121	475
204	122	474
205	122	472
206	122	470
207	123	469
208	123	467
209	123	466
210	124	464
211	124	462
212	124	461
213	125	459
214	125	457
215	125	456
216	126	454
217	126	453
218	126	451
219	126	449
220	127	448
221	127	446
222	127	445
223	128	443
224	128	442
225	128	440
226	128	439
227	129	437
228	129	436
229	129	434
230	130	433
231	130	431
232	130	430
233	130	428
234	131	427
235	131	425
236	131	424
237	132	422
238	132	421
239	132	420
240	132	418
241	133	417
242	133	415
243	133	414
244	134	413
245	134	412
246	134	410
247	135	409
248	135	408
249	135	406
250	135	405
251	136	404
252	136	402
253	136	401
254	136	400
255	137	398
256	137	397
257	137	396
258	138	395
259	138	393
260	138	392
261	138	391
262	139	390
263	139	389
264	139	387
265	140	386
266	140	385
267	140	384
268	140	383
269	141	381
270	141	380
271	141	379
272	142	378
273	142	377
274	142	376
275	143	375
276	143	374
277	143	372
278	143	371
279	144	370
280	144	369
281	144	368
282	145	367
283	145	366
284	145	365
285	145	364
286	146	363
287	146	362
288	146	361
289	147	359
290	147	358
291	147	357
292	147	356
293	148	355
294	148	354
295	148	353
296	149	352
297	149	351
298	149	350
299	149	349
300	150	348
301	150	347
302	150	346
303	151	345
304	151	344
305	151	343
306	151	342
307	152	341
308	152	340
309	152	340
310	153	339
311	153	338
312	153	337
313	153	336
314	154	335
315	154	334
316	154	333
317	155	332
318	155	331
319	155	330
320	155	329
321	156	329
322	156	328
323	156	327
324	157	326
325	157	325
326	157	324
327	157	323
328	158	322
329	158	321
330	158	321
331	159	320
332	159	319
333	159	318
334	160	317
335	160	316
336	160	316
337	160	315
338	161	314
339	161	313
340	161	312
341	162	311
342	162	311
343	162	310
344	162	309
345	163	308
346	163	307
347	163	306
348	164	306
349	164	305
350	164	304
351	164	303
352	165	302
353	165	302
354	165	301
355	166	300
356	166	299
357	166	298
358	166	298
359	167	297
360	167	296
361	167	295
362	168	295
363	168	294
364	168	293
365	169	292
366	169	292
367	169	291
368	169	290
369	170	289
370	170	289
371	170	288
372	171	287
373	171	286
374	171	286
375	172	285
376	172	284
377	172	284
378	172	283
379	173	282
380	173	281
381	173	281
382	174	280
383	174	279
384	174	278
385	174	278
386	175	277
387	175	276
388	175	276
389	176	275
390	176	274
391	176	273
392	176	273
393	177	272
394	177	271
395	177	271
396	178	270
397	178	269
398	178	269
399	178	268
400	179	267
401	179	267
402	179	266
403	180	265
404	180	264
405	180	264
406	180	263
407	181	262
408	181	262
409	181	261
410	182	261
411	182	260
412	182	259
413	183	259
414	183	258
415	183	257
416	183	257
417	184	256
418	184	255
419	184	255
420	185	254
421	185	253
422	185	253
423	185	252
424	186	251
425	186	251
426	186	250
427	187	249
428	187	249
429	187	248
430	187	248
431	188	247
432	188	246
433	188	246
434	189	245
435	189	244
436	189	244
437	189	243
438	190	243
439	190	242
440	190	241
441	191	241
442	191	240
443	191	240
444	191	239
445	192	238
446	192	238
447	192	237
448	193	236
449	193	236
450	193	235
451	193	235
452	194	234
453	194	233
454	194	233
455	195	232
456	195	232
457	195	231
458	196	231
459	196	230
460	196	229
461	196	229
462	197	228
463	197	228
464	197	227
465	198	227
466	198	226
467	198	225
468	198	225
469	199	224
470	199	224
471	199	223
472	200	223
473	200	222
474	200	222
475	201	221
476	201	220
477	201	220
478	202	219
479	202	219
480	202	218
481	203	218
482	203	217
483	203	217
484	203	216
485	204	216
486	204	215
487	204	214
488	205	214
489	205	213
490	205	213
491	206	212
492	206	212
493	206	211
494	206	211
495	207	210
496	207	209
497	207	209
498	208	208
499	208	208
500	208	207
501	208	207
502	209	206
503	209	206
504	209	205
505	210	205
506	210	204
507	210	203
508	210	203
509	211	202
510	211	202
511	211	201
512	212	201
513	212	200
514	212	200
515	212	199
516	213	199
517	213	198
518	213	198
519	214	197
520	214	197
521	214	196
522	215	196
523	215	195
524	215	195
525	215	194
526	216	194
527	216	193
528	217	193
529	217	192
530	217	192
531	217	191
532	218	191
533	218	190
534	218	190
535	219	189
536	219	189
537	219	188
538	219	188
539	220	187
540	220	187
541	220	186
542	221	186
543	221	185
544	221	185
545	221	184
546	222	184
547	222	183
548	222	183
549	223	182
550	223	182
551	223	181
552	224	181
553	224	180
554	224	180
555	224	179
556	225	179
557	225	178
558	225	178
559	226	177
560	226	177
561	226	176
562	227	176
563	227	175
564	227	175
565	227	174
566	228	174
567	228	173
568	228	173
569	229	172
570	229	172
571	229	171
572	229	171
573	230	170
574	230	170
575	230	169
576	231	169
577	231	168
578	231	168
579	232	168
580	232	167
581	232	167
582	232	166
583	233	166
584	233	165
585	233	165
586	234	164
587	234	164
588	234	163
589	234	163
590	235	162
591	235	162
592	235	161
593	236	161
594	236	160
595	236	160
596	237	159
597	237	159
598	237	159
599	237	158
600	238	158
601	238	157
602	238	157
603	239	156
604	239	156
605	239	155
606	239	155
607	240	154
608	240	154
609	240	153
610	241	153
611	241	153
612	241	152
613	241	152
614	242	151
615	242	151
616	242	150
617	243	150
618	243	149
619	243	149
620	244	148
621	244	148
622	244	148
623	244	147
624	245	147
625	245	146
626	245	146
627	246	145
628	246	145
629	246	144
630	246	144
631	247	143
632	247	143
633	247	143
634	247	142
635	248	142
636	248	141
637	248	141
638	249	140
639	249	140
640	249	139
641	249	139
642	250	138
643	250	138
644	250	138
645	251	137
646	251	137
647	251	136
648	252	136
649	252	135
650	252	135
651	253	135
652	253	134
653	253	134
654	253	133
655	254	133
656	254	132
657	254	132
658	255	132
659	255	131
660	255	131
661	255	130
662	256	130
663	256	129
664	256	129
665	257	128
666	257	128
667	257	128
668	258	127
669	258	127
670	258	126
671	258	126
672	259	125
673	259	125
674	259	125
675	260	124
676	260	124
677	260	123
678	261	123
679	261	122
680	261	122
681	261	122
682	262	121
683	262	121
684	262	120
685	263	120
686	263	119
687	263	119
688	263	119
689	264	118
690	264	118
691	264	117
692	265	117
693	265	117
694	265	116
695	266	116
696	266	115
697	266	115
698	266	114
699	267	114
700	267	114
701	267	113
702	268	113
703	268	112
704	268	112
705	268	111
706	269	111
707	269	111
708	269	110
709	270	110
710	270	109
711	270	109
712	270	109
713	271	108
